Gene,Slope,P-value,FDR
RP1-202O8.2,-0.0430484245016659,0.2020077867084493,
TNFRSF25,-0.2180466791930858,0.0155613122354682,
PLEKHG5,-0.1600151674946558,0.0778924447697499,
NOL9,-0.0454262691433088,0.242047202033953,
RNU6-731P,-0.0161353327896423,0.1677411194999685,
RP11-58A11.2,0.0602241042979006,0.3375657262691969,
TAS1R1,-0.0194478947734447,0.8473075626656955,
ZBTB48,-0.0857855699350028,0.0187200820944374,
KLHL21,0.1670249367637657,0.0152840578336284,
PHF13,-0.0954996402021588,0.108377902839558,
THAP3,-0.0522304620844925,0.1461007132293583,
DNAJC11,-0.0875825570474773,0.025324402320095,
LINC01672,-0.0299194689050973,0.2914338070284849,
RP11-312B8.1,-0.0387566668951961,0.544407118570353,
CAMTA1,-0.1628566835344962,8.685514962656702e-07,
RP11-312B8.2,-0.0091952815664325,0.7507580669355913,
RP11-334N17.1,-0.0054413045896599,0.5644613476187191,
RNU1-8P,-0.0057296009208896,0.629686018643456,
CAMTA1-IT1,-0.0121261436936372,0.674011725409777,
RP3-453P22.2,0.0075177278729456,0.622548080402815,
RP4-549F15.1,0.0356029169055836,0.0436289165667685,
RP11-338N10.1,-0.0191644629558071,0.7459985185057438,
RP11-338N10.2,-0.0624323616884387,0.2584234545391425,
RP11-338N10.3,-0.0449113840353105,0.2505567051858771,
VAMP3,0.0338124337002734,0.4293111599071141,
RP3-467L1.6,-0.0162488990190591,0.8355132148192779,
PER3,-0.3725028508783696,4.466696893048819e-06,
RP3-467L1.4,-0.2466894196451194,0.0007507884484344,
UTS2,-0.0182021615101373,0.910689068080884,
TNFRSF9,-0.2063465154758084,0.0101570157607816,
RP5-892F13.2,0.0939879491062943,0.3159247887404912,
PARK7,-0.0921393078163358,0.0074389554086281,
Y_RNA,-0.0113557131876298,0.8099509413806901,
ERRFI1,-0.1551711859823012,0.2601484423703886,
RP11-431K24.1,0.0385459866214015,0.4939210419911536,
CTA-215D11.4,-0.0702962610379781,0.2136958013396701,
RP11-431K24.2,-0.0304118399112193,0.1278209497689391,
LINC01714,0.004686409794949,0.9005439972389215,
RNU1-7P,0.0153051077004119,0.1353110780212331,
RP11-431K24.4,0.0185915020070838,0.3533225726481839,
RNU6-991P,0.0027169020822378,0.6303631238432209,
SLC45A1,-0.1830842591344452,0.0421263744815801,
RERE,0.1553841663492795,0.011476588123027,
RP5-1115A15.1,0.2663802657007774,0.0181898738035317,
SNORA77,-0.0175607740641826,0.5024512504252918,
RP5-1115A15.2,-0.0832257345512391,0.1439653513370118,
RPL7P11,-0.0509171979308631,0.2382233426734788,
RPL7P7,-0.0003782830405592,0.9932806695158278,
RP4-633I8.3,-0.0193785457678404,0.4812332534361612,
RP4-633I8.4,-0.0107330088192619,0.7131369409525274,
RPL23AP19,-0.0019080007792625,0.9351136022122624,
ENO1,-0.0897057164620828,0.1009446647226631,
MIR6728,0.0216652591628247,0.7222778422433276,
ENO1-IT1,-0.1519862191227933,0.3478680103817768,
ENO1-AS1,0.1375262588379011,0.1099602112428057,
RNU6-304P,0.0357594090409724,0.0835107071072162,
HMGN2P17,0.1423224775873797,0.090090072419876,
RP3-477M7.5,0.2945348170450609,0.0103664922398795,
RP3-477M7.6,0.0873281788314021,0.0024735161245453,
CA6,0.3108563854241125,0.0087763100942729,
RN7SL451P,0.0287005755090095,0.3148596588030928,
SLC2A7,-0.0137211131018552,0.7611419545027324,
SLC2A5,0.1232858914542037,0.3634953014561501,
SCARNA16,0.0147721912335707,0.5128261266239483,
GPR157,0.1621660793155664,0.0056500180708063,
MIR34AHG,0.0617477430393828,0.5206901155844377,
LINC01759,0.1529382684445902,0.0819683985474011,
RP3-510D11.4,-0.0114349246744548,0.7854071039637411,
H6PD,0.1921773250886295,0.0014264368051613,
SPSB1,0.0148263806160384,0.8180642842200888,
RNA5SP40,-0.0044193311799649,0.5069586863971078,
RP13-392I16.1,0.0347297718548615,0.5400277576758538,
SLC25A33,-0.1017470883353413,0.0206869054783608,
RP13-15M17.1,0.0013527798218216,0.9867031442956908,
TMEM201,-0.0613375204575136,0.3072134287402782,
